Edad simple;Sexo;Periodo;Total
Total;Ambos sexos;1 de enero de 2021;47.394.223
Total;Hombres;1 de enero de 2021;23.224.861
Total;Mujeres;1 de enero de 2021;24.169.362
0 años;Ambos sexos;1 de enero de 2021;338.786
0 años;Hombres;1 de enero de 2021;173.576
0 años;Mujeres;1 de enero de 2021;165.210
1 año;Ambos sexos;1 de enero de 2021;363.341
1 año;Hombres;1 de enero de 2021;186.861
1 año;Mujeres;1 de enero de 2021;176.480
2 años;Ambos sexos;1 de enero de 2021;382.059
2 años;Hombres;1 de enero de 2021;196.311
2 años;Mujeres;1 de enero de 2021;185.748
3 años;Ambos sexos;1 de enero de 2021;408.287
3 años;Hombres;1 de enero de 2021;210.331
3 años;Mujeres;1 de enero de 2021;197.956
4 años;Ambos sexos;1 de enero de 2021;431.472
4 años;Hombres;1 de enero de 2021;221.780
4 años;Mujeres;1 de enero de 2021;209.692
5 años;Ambos sexos;1 de enero de 2021;443.170
5 años;Hombres;1 de enero de 2021;228.110
5 años;Mujeres;1 de enero de 2021;215.060
6 años;Ambos sexos;1 de enero de 2021;450.016
6 años;Hombres;1 de enero de 2021;232.227
6 años;Mujeres;1 de enero de 2021;217.790
7 años;Ambos sexos;1 de enero de 2021;445.284
7 años;Hombres;1 de enero de 2021;229.318
7 años;Mujeres;1 de enero de 2021;215.967
8 años;Ambos sexos;1 de enero de 2021;469.239
8 años;Hombres;1 de enero de 2021;241.926
8 años;Mujeres;1 de enero de 2021;227.314
9 años;Ambos sexos;1 de enero de 2021;486.596
9 años;Hombres;1 de enero de 2021;250.976
9 años;Mujeres;1 de enero de 2021;235.619
10 años;Ambos sexos;1 de enero de 2021;491.380
10 años;Hombres;1 de enero de 2021;253.259
10 años;Mujeres;1 de enero de 2021;238.121
11 años;Ambos sexos;1 de enero de 2021;501.426
11 años;Hombres;1 de enero de 2021;259.295
11 años;Mujeres;1 de enero de 2021;242.132
12 años;Ambos sexos;1 de enero de 2021;527.716
12 años;Hombres;1 de enero de 2021;272.581
12 años;Mujeres;1 de enero de 2021;255.135
13 años;Ambos sexos;1 de enero de 2021;510.018
13 años;Hombres;1 de enero de 2021;263.313
13 años;Mujeres;1 de enero de 2021;246.705
14 años;Ambos sexos;1 de enero de 2021;507.740
14 años;Hombres;1 de enero de 2021;262.157
14 años;Mujeres;1 de enero de 2021;245.582
15 años;Ambos sexos;1 de enero de 2021;498.747
15 años;Hombres;1 de enero de 2021;256.706
15 años;Mujeres;1 de enero de 2021;242.041
16 años;Ambos sexos;1 de enero de 2021;495.260
16 años;Hombres;1 de enero de 2021;255.710
16 años;Mujeres;1 de enero de 2021;239.550
17 años;Ambos sexos;1 de enero de 2021;488.794
17 años;Hombres;1 de enero de 2021;251.967
17 años;Mujeres;1 de enero de 2021;236.827
18 años;Ambos sexos;1 de enero de 2021;475.565
18 años;Hombres;1 de enero de 2021;246.661
18 años;Mujeres;1 de enero de 2021;228.904
19 años;Ambos sexos;1 de enero de 2021;479.813
19 años;Hombres;1 de enero de 2021;248.242
19 años;Mujeres;1 de enero de 2021;231.571
20 años;Ambos sexos;1 de enero de 2021;484.847
20 años;Hombres;1 de enero de 2021;251.699
20 años;Mujeres;1 de enero de 2021;233.149
21 años;Ambos sexos;1 de enero de 2021;479.183
21 años;Hombres;1 de enero de 2021;246.382
21 años;Mujeres;1 de enero de 2021;232.801
22 años;Ambos sexos;1 de enero de 2021;470.774
22 años;Hombres;1 de enero de 2021;242.673
22 años;Mujeres;1 de enero de 2021;228.101
23 años;Ambos sexos;1 de enero de 2021;479.101
23 años;Hombres;1 de enero de 2021;244.397
23 años;Mujeres;1 de enero de 2021;234.705
24 años;Ambos sexos;1 de enero de 2021;478.719
24 años;Hombres;1 de enero de 2021;243.013
24 años;Mujeres;1 de enero de 2021;235.705
25 años;Ambos sexos;1 de enero de 2021;481.718
25 años;Hombres;1 de enero de 2021;245.218
25 años;Mujeres;1 de enero de 2021;236.500
26 años;Ambos sexos;1 de enero de 2021;490.899
26 años;Hombres;1 de enero de 2021;249.413
